subordinate    sub.ordin.ate
gawk    gawk
kink    kink
eon    eon
through    through
rail    rail
profusely    profuse.ly
gallant    gall.ant
militiaman    militia.man
decorum    de.cor.um
mathematically    mathem.ati.cal.ly
old    old
hah    hah
snowboard    snow.board
importation    im.port.ation
bowler    bowl.er
shoddy    shod.dy
radiance    radi.an.ce
campaigning    campaign.ing
brownstone    brown.stone
pursuer    pur.su.er
spite    spite
squabble    squab.ble
coast    coast
liqueur    li.queur
unmatched    un.match.ed
swordfish    sword.fish
dynamism    dyna.mism
unsustainable    un.sus.tain.able
suffuse    suf.fuse
retard    re.tard
ladle    ladle
actuator    ac.tu.at.or
lawless    law.less
tuft    tuft
firewall    fire.wall
gargantuan    garg.ant.uan
amalgam    a.malgam
nominally    nomi.nal.ly
considerate    con.side.rate
hyperbole    hy.per.bole
checkered    check.ered
thermos    thermos
cognac    co.gnac
tumbler    tum.bl.er
velvety    velv.et.y
unconcerned    un.con.cern.ed
ebony    e.bony
shuffle    shuf.fle
mister    mist.er
inflexible    in.flex.ible
repentance    re.pen.tance
wow    wow
daffodil    daffodil
drawl    drawl
fro    fro
ouster    oust.er
uplift    up.lift
desolation    de.sol.ation
sheepishly    sheep.ish.ly
frailty    frail.ty
inaccuracy    in.accuracy
basal    bas.al
tribulation    tribul.ation
inwardly    in.ward.ly
cystic    cyst.ic
subdivide    sub.div.ide
maestro    maestro
ancillary    ancill.ary
aghast    a.ghast
penicillin    penicillin
inquisitive    in.quis.it.ive
invisibility    in.visibil.ity
supremacist    supre.mac.ist
unrecognized    un.recogniz.ed
spraying    spray.ing
islander    island.er
mutilation    mutil.ation
ballgame    ball.game
chromium    chromium
constructivist    construct.ivist
busted    bust.ed
reverend    rever.end
stilt    stilt
articulated    articulat.ed
dungeon    dungeon
balmy    bal.my
hilt    hilt
allay    all.ay
firecracker    firecrack.er
adhesive    ad.hes.ive
criminally    crim.in.ally
spotlight    spot.light
spousal    spo.us.al
extravagance    extra.vag.ance
reminiscence    re.minis.cence
surly    sur.ly
cancerous    cancer.ous
carmaker    carmak.er
layup    lay.up
abolitionist    ab.olit.ion.ist
harrowing    harrow.ing
reticent    re.tic.ent
gregarious    greg.ar.ious
hulking    hulk.ing
undiscovered    un.dis.cover.ed
automate    auto.mate
ramshackle    ram.shack.le
enmity    en.mity
theorem    the.orem
maximal    max.im.al
sharp    sharp
retainer    re.tain.er
preservative    pre.serv.at.ive
wristwatch    wrist.watch
outwardly    out.ward.ly
slain    slain
reversible    re.vers.ib.le
seeing    see.ing
blackmail    black.mail
disinfectant    dis.in.fect.ant
assessor    as.sess.or
vilify    vil.ify
floured    flour.ed
riverboat    river.boat
jurist    jur.ist
claimant    claim.ant
restlessness    rest.less.ness
devotional    devo.tion.al
overcast    over.cast
cabaret    ca.ba.ret
signifier    sign.ifi.er
shallow    shal.low
stripped    strip.ped
fortitude    fort.itude
scriptural    script.ur.al
organically    or.gan.ical.ly
peptide    pep.tide
waistband    waist.band
alight    a.light
defraud    de.fraud
distal    dis.tal
baste    bas.te
goddamn    god.damn
practicum    pract.ic.um
dictum    dict.um
intensively    in.tens.ive.ly
courtly    court.ly
corona    co.ro.na
incurable    in.cur.able
unyielding    un.yield.ing
awkwardness    awkward.ness
trivialize    trivial.ize
whisky    whisky
subsist    sub.sist
derogatory    de.rog.atory
outhouse    out.house
counterfeit    counter.feit
technicality    technical.ity
behest    behest
purple    purple
cheddar    cheddar
sapphire    sapphire
carpet    carpet
empathetic    em.path.etic
platonic    plat.on.ic
sizzling    sizzl.ing
lockout    lock.out
cog    cog
carol    carol
have    have
fruity    fruit.y
partition    parti.tion
dehydrate    de.hydr.ate
markup    mark.up
holocaust    holo.caust
promiscuous    pro.miscu.ous
corset    cor.set
horny    horn.y
spiky    spik.y
aerodynamic    aero.dyn.amic
incipient    in.cipi.ent
rinsed    rins.ed
rippling    rippl.ing
exalt    ex.alt
aquaculture    aqua.cult.ure
snob    snob
dopamine    dop.amine
airstrike    air.strike
indie    in.die
personification    per.son.ific.ation
celeb    ce.leb
weasel    we.as.el
viciously    vic.ious.ly
futurist    fu.tur.ist
managing    man.ag.ing
readable    read.able
shaping    shap.ing
petitioner    peti.tion.er
carousel    car.ou.sel
tory    tor.y
afield    a.field
cicada    ci.ca.da
hyena    hy.ena
rallying    ral.ly.ing
sturgeon    stur.geon
chemo    chemo
untitled    un.tit.led
weekly    week.ly
untenable    un.ten.able
rumpled    rum.pled
pester    pest.er
site    site
loathing    loath.ing
tightening    tight.en.ing
congregational    con.greg.ati.on.al
resigned    re.sign.ed
fiesta    fiesta
grapevine    grape.vine
rebuke    re.buke
exhortation    ex.hort.ati.on
beef    beef
disorderly    dis.ord.er.ly
smattering    smat.ter.ing
inhalation    in.hal.ati.on
aggregation    a.ggreg.ati.on
adaptability    a.dapt.abil.ity
nude    nude
sharpness    sharp.ness
pacifist    paci.fist
christen    chris.ten
toolbox    tool.box
capricious    capric.ious
horrid    hor.rid
paralyzed    para.lyz.ed
wharf    wharf
disparage    dis.par.age
signatory    sign.at.ory
enforced    en.forc.ed
sameness    same.ness
midsection    mid.sec.tion
alderman    alder.man
hotbed    hot.bed
barrel    bar.rel
tunnel    tun.nel
peacemaker    peacemak.er
snappy    snapp.y
moniker    monik.er
melodramatic    me.lo.dra.ma.tic
molester    molest.er
historiography    histo.rio.graphy
herpes    her.pes
rev    rev
extramarital    ext.ra.mari.tal
hazelnut    haz.el.nut
magnolia    mag.nol.ia
unicorn    u.ni.corn
stampede    stamp.ede
underwriter    un.der.writ.er
lurch    lurch
undaunted    un.dau.nt.ed
downsizing    down.siz.ing
treachery    treach.ery
scorpion    scor.pi.on
dispersed    dis.per.sed
oeuvre    oeu.vre
chiropractor    chi.ro.prac.tor
needlessly    need.less.ly
brainwash    brain.wash
genial    ge.nial
musing    mus.ing
ascendancy    as.cend.an.cy
perversion    per.vers.ion
knapsack    knap.sack
unproductive    un.produc.tive
materially    mate.rial.ly
afoot    a.foot
overpriced    over.pric.ed
redneck    red.neck
forego    fore.go
filming    film.ing
miscalculation    mis.calcu.la.tion
meteorological    meteoro.logi.cal
psi    psi
intelligible    in.tel.lig.ible
weakening    weaken.ing
blindfold    blind.fold
hemorrhage    hem.or.rhage
incendiary    in.cend.iar.y
enamor    e.namor
octave    oc.tave
mistreatment    mis.treat.ment
penitentiary    penitenti.ar.y
hearsay    hear.say
ravages    rav.ages
idiotic    i.diot.ic
pout    pout
retool    re.tool
catchy    catch.y
luminary    lumin.ar.y
teak    teak
unplanned    un.plan.ned
shackle    shack.le
sparingly    spar.ing.ly
bygone    by.gone
reassign    re.assign
copious    cop.ious
indulgent    in.dulg.ent
upshot    up.shot
uncooked    un.cook.ed
ricotta    ricotta
ineffectual    in.effec.tu.al
unwrap    un.wrap
staple    stap.le
keyword    key.word
allergen    al.ler.gen
tantalizing    tan.tal.iz.ing
thistle    thist.le
generality    gen.eral.ity
boxed    box.ed
backtrack    back.track
enchanting    en.chant.ing
exclusionary    ex.clus.ion.ary
peeled    peel.ed
colt    colt
homely    home.ly
diplomatically    diplo.mat.ic.al.ly
solicitor    sol.ic.it.or
collarbone    collar.bone
consonant    con.sonant
inca    in.ca
idealize    ide.al.ize
cusp    cusp
canning    can.ning
monopolize    mono.pol.ize
informer    in.form.er
inordinate    in.ordin.ate
fluff    fluff
disavow    dis.avow
supersonic    super.son.ic
pancreas    pan.creas
lair    lair
populism    popul.ism
sandinista    sandin.ista
henceforth    hence.forth
imperialist    imperi.al.ist
flutter    flutt.er
racketeering    racket.eer.ing
sorcery    sorc.ery
seaman    sea.man
politicization    polit.ic.ization
inexperience    in.experi.ence
contort    con.tort
protectionist    protect.ion.ist
fell    fell
inactivity    in.activ.ity
ingrain    in.grain
smashed    smash.ed
hello    hello
outmoded    out.mod.ed
salesperson    sales.person
offshoot    off.shoot
rainstorm    rain.storm
wayside    way.side
wired    wired
recklessly    reck.less.ly
inlaid    in.laid
formalize    for.ma.lize
matched    match.ed
warming    warm.ing
tasteful    tast.eful
racy    rac.y
belch    belch
icelandic    ice.land.ic
savanna    savanna
insensitivity    in.sensitiv.ity
postgraduate    post.gradu.ate
loll    loll
shipwreck    ship.wreck
unwed    un.wed
chartered    chart.ered
chaser    chas.er
lance    lance
hemlock    hem.lock
snoop    snoop
roulette    rou.let.te
misbehave    mis.behave
chieftain    chief.tain
defensible    de.fens.ible
grumpy    grump.y
chiffon    chiff.on
delude    de.lude
intelligently    intel.ligent.ly
accredited    ac.cred.it.ed
enchant    en.chant
discriminant    dis.crim.in.ant
epoxy    ep.ox.y
patented    pat.ent.ed
acidity    ac.id.it.y
enviable    en.vi.able
snack    snack
gripe    gripe
germinate    germ.in.ate
respiration    re.spir.ation
enthuse    en.thuse
maggot    mag.got
broadside    broad.side
steelhead    steel.head
assertiveness    as.sert.iveness
welder    weld.er
whirl    whirl
redraw    re.draw
luminosity    lumi.nos.ity
regrettable    re.gret.ta.ble
unaccustomed    un.ac.cust.omed
minefield    mine.field
invalid    in.valid
belle    belle
miniature    mini.at.ure
hang    hang
microchip    micro.chip
boldness    bold.ness
rater    rat.er
lacquer    lacquer
infatuation    in.fatu.ation
mat    mat
admitting    ad.mit.ting
grand    grand
deathbed    death.bed
holdout    hold.out
stalwart    stal.wart
internist    intern.ist
mallet    mal.let
orb    orb
marcher    march.er
wannabe    wan.nabe
fortification    fort.ific.ation
forensics    fore.nsics
wick    wick
aryan    a.ryan
accretion    ac.cre.tion
sidle    sid.le
imperil    im.per.il
buffet    buf.fet
ameliorate    a.melior.ate
sectional    sec.tion.al
crow    crow
tact    tact
masturbate    masturb.ate
inorganic    in.organic
changing    chang.ing
shockingly    shock.ing.ly
snipe    snipe
excise    ex.cise
purview    pur.view
vest    vest
chopsticks    chop.sticks
teacup    tea.cup
finisher    finish.er
lullaby    lull.ab.y
slather    slather
scavenge    scaven.ge
reclusive    re.clus.ive
dishonesty    dis.honest.y
sell    sell
pickled    pickl.ed
tread    tread
shove    shove
hyperactive    hyper.act.ive
sympathetically    sym.path.et.ical.ly
shifter    shift.er
chronicler    chron.icl.er
wraparound    wrap.around
skimpy    skim.py
panicked    panic.ked
hardcover    hard.cover
conclusively    con.clus.ive.ly
deleterious    dele.ter.ious
absorbing    ab.sorb.ing
redness    red.ness
pariah    pariah
hideaway    hide.away
buttery    butter.y
baguette    baguette
subprime    sub.prime
goo    goo
dike    dike
transformer    transform.er
unexplored    un.explor.ed
lob    lob
twofold    two.fold
misdeed    mis.deed
overpowering    over.power.ing
elation    e.lat.ion
landlady    land.lady
archdiocese    arch.diocese
ancient    an.cient
jitters    jitters
blurred    blur.red
patina    patina
blemish    blemish
ninja    ninja
adjoin    ad.join
soundbite    sound.bite
sandbag    sand.bag
tough    tough
multimillionaire    multi.million.aire
wrangling    wrangl.ing
unionized    union.ized
illuminating    il.lumin.at.ing
dryness    dry.ness
extraneous    ex.trane.ous
critique    critique
implode    im.plo.de
pragmatist    pragmat.ist
shear    shear
bandanna    band.an.na
sieve    sieve
incriminating    in.crim.in.at.ing
acquiescence    ac.quies.ce.nce
preamble    pre.amble
zigzag    zig.zag
polemic    polemic
wrought    wrought
mushy    mush.y
indecision    in.decision
providing    pro.vid.ing
peppercorn    pepper.corn
resuscitate    re.sus.ci.tate
semantics    semantics
fibrosis    fib.ros.is
introspective    intro.spect.ive
reinvigorate    re.in.vig.or.ate
amiss    a.miss
anemic    an.em.ic
antebellum    ante.bell.um
vaporize    vapor.ize
unwavering    un.waver.ing
deplorable    deplor.able
spending    spend.ing
lope    lo.pe
denizen    den.iz.en
blooming    bloom.ing
pudgy    pud.gy
tank    tank
crass    crass
superhero    super.hero
justifiably    justif.iab.ly
claustrophobic    claustro.phob.ic
cobbler    cob.bl.er
esteemed    est.eem.ed
favoritism    favorit.ism
heretic    her.etic
demean    de.mean
connote    con.note
angelic    angel.ic
infest    in.fest
merciful    merc.iful
touchstone    touch.stone
buffer    buff.er
horticultural    horticul.tur.al
uninformed    un.in.form.ed
flaky    flak.y
dour    dour
constitutive    con.stitut.ive
debunk    de.bunk
secede    se.cede
papa    papa
demented    de.men.ted
singularly    singul.ar.ly
filtering    fil.ter.ing
exterminate    ex.termin.ate
profane    pro.fane
clink    clink
achiever    achiev.er
tranquilizer    tranquil.iz.er
unseat    un.seat
cannibal    can.ni.bal
blithely    blithe.ly
digitize    digit.ize
gizmo    gizmo
tirelessly    tire.less.ly
whoop    whoop
unchanging    un.chang.ing
attainable    at.tain.able
unkind    un.kind
deadpan    dead.pan
willfully    will.ful.ly
speeding    speed.ing
festoon    festoon
screener    screen.er
grotto    grot.to
unfairness    un.fair.ness
reincarnation    re.in.car.na.tion
bus    bus
planetarium    planeta.ri.um
dowry    dowry
vex    vex
interrelationship    inter.re.la.tion.ship
alienating    al.ien.at.ing
uptight    up.tight
hardness    hard.ness
dotted    dot.ted
feared    fear.ed
sicken    sick.en
talkative    talk.at.ive
blended    blend.ed
enchantment    en.chant.ment
distinctively    dis.tinct.ive.ly
cyanide    cyan.ide
trawl    trawl
czech    czech
jihadist    jihad.ist
cola    cola
inexorable    in.ex.or.able
bluish    blu.ish
transom    trans.om
gist    gist
hypothermia    hypo.therm.ia
cropland    crop.land
friendliness    friend.li.ness
sup    sup
delusional    del.us.ion.al
antithetical    anti.the.tic.al
notepad    note.pad
plain    plain
flint    flint
breech    breech
coveralls    cover.all.s
foodstuff    food.stuff
valor    valor
ferment    fer.ment
scheme    scheme
homily    hom.ily
amplification    ampl.ific.ation
nuke    nuke
trot    trot
nick    nick
mermaid    mer.maid
habitually    habitu.al.ly
beholder    be.hold.er
quark    quark
auctioneer    auc.tione.er
underpants    under.pants
shoplifting    shop.lift.ing
neurotransmitter    neuro.transmitt.er
chipped    chip.ped
stopper    stopp.er
leper    lep.er
premonition    pre.monit.ion
pistachio    pi.stachio
peeling    peel.ing
outreach    out.reach
antagonize    ant.agon.ize
mason    mas.on
trickster    trickst.er
catalytic    cata.lyt.ic
diced    diced
snugly    snug.ly
counterbalance    counter.bal.ance
celibate    cel.ib.ate
shutout    shut.out
voluptuous    volup.tu.ous
rolled    roll.ed
git    git
interlocking    inter.lock.ing
fab    fab
tasteless    taste.less
candlestick    can.dle.stick
underfunded    under.fund.ed
feathery    feath.ery
equalize    equal.ize
eulogy    eu.log.y
vend    vend
trinket    trink.et
foolishly    fool.ish.ly
disdain    dis.dain
upturned    up.turn.ed
assist    as.sist
familiarize    famil.iar.ize
overgrow    over.grow
exponential    ex.pon.enti.al
ensconced    en.sconc.ed
saltwater    saltwat.er
irk    irk
irrevocably    ir.re.vo.ca.bly
questioner    ques.tion.er
prepaid    pre.paid
photosynthesis    photo.synthesis
whence    whence
conceit    con.ceit
uncomplicated    un.com.plic.ated
antipathy    anti.pathy
scratching    scratch.ing
lynch    lynch
conservatively    con.ser.va.tive.ly
proximal    prox.im.al
gratify    grat.ify
waddle    waddle
downed    down.ed
tomography    tomo.graphy
silken    silk.en
swoon    swoon
riparian    ripar.ian
cauldron    cauldron
mildew    mildew
unpredictability    un.pre.dict.abil.ity
gilt    gilt
piss    piss
yiddish    yiddish
kickback    kick.back
mystify    myst.ify
titan    titan
mega    mega
duplicate    du.plic.ate
riser    ris.er
schooner    schoon.er
satisfactorily    sat.is.fact.ori.ly
mafia    maf.ia
meditative    medit.at.ive
supermodel    super.model
airstrip    air.strip
nuzzle    nuz.zle
bountiful    bounti.ful
equivalence    equi.valence
swig    swig
magnetism    magnet.ism
intelligentsia    intel.ligents.ia
hatchet    hatch.et
cougar    cougar
quotient    quot.ient
whizz    whizz
chairmanship    chair.man.ship
salmonella    salmon.ella
insular    in.sular
socialite    social.ite
input    in.put
salamander    sala.mand.er
yellowed    yellow.ed
belated    be.lat.ed
infidel    in.fidel
particularity    particu.lar.ity
ascension    as.cen.sion
steadfastly    steadfast.ly
darkroom    dark.room
stereotyped    stereo.typ.ed
drizzle    driz.zle
grime    grime
amply    amp.ly
infertile    in.fert.ile
cauliflower    cauli.flow.er
coronation    coro.na.tion
halting    halt.ing
nose    nose
readjust    re.adjust
loon    loon
sequester    se.quest.er
currant    currant
radiologist    radio.log.ist
blown    blown
harem    harem
externalize    ex.ter.nal.ize
authorial    author.ial
overeat    over.eat
showy    show.y
unraveled    un.ravel.ed
nettle    nett.le
cruelly    cruel.ly
sac    sac
entrance    en.trance
prohibitive    prohib.it.ive
sarcastically    sarcast.ic.ally
outscore    out.score
obsessively    obsess.ively
acumen    acumen
intoxication    in.tox.ic.ation
homesick    home.sick
snub    snub
midget    midget
apolitical    a.politic.al
amphibious    amphi.bio.us
rollover    rollov.er
reprehensible    re.pre.hens.ible
bleached    bleach.ed
floodplain    flood.plain
nonviolence    non.viol.ence
emphysema    em.phys.ema
moor    moor
molded    mold.ed
connectedness    con.nect.ed.ness
beehive    bee.hive
weightless    weight.less
fizzle    fizz.le
gloat    gloat
tumult    tumult
magenta    magenta
legging    leg.ging
habitation    hab.it.ation
atlas    atlas
botch    botch
bound    bound
tuber    tuber
pathos    pathos
windrow    wind.row
credo    cre.do
mucus    muc.us
gentleness    gentlene.ss
mannerism    manner.ism
trimester    tri.mest.er
custodial    cus.to.di.al
tarragon    tar.rag.on
ravioli    ra.vi.oli
momma    mom.ma
neurosurgeon    neuro.sur.geon
hysterically    hyster.ical.ly
democratize    demo.cr.at.ize
narcissistic    nar.cis.sis.tic
uncharacteristically    un.char.ac.ter.is.tic.al.ly
biochemistry    bio.chem.is.try
offstage    off.stage
bequest    be.quest
repaint    re.paint
furtive    fur.tive
dashing    dash.ing
alum    alum
qualitatively    quali.tat.ive.ly
swab    swab
facedown    face.down
vacationer    vac.ation.er
cleanser    cleans.er
rhododendron    rhodo.dendron
aimlessly    aim.less.ly
unsettled    un.settl.ed
retrofit    retro.fit
urging    urg.ing
sully    sully
romanticize    roman.tic.ize
heartless    heart.less
analyzer    analyz.er
deadlock    dead.lock
smock    smock
scorecard    score.card
excision    ex.ci.sion
beater    beat.er
introspection    intro.spect.ion
measles    meas.les
paving    pav.ing
karma    karma
terse    terse
blissful    bliss.ful
lumbering    lumber.ing
yuppie    yup.pie
undervalue    under.val.ue
decadence    de.cad.ence
immortalize    im.mortal.ize
intoxicating    in.tox.ic.at.ing
indistinct    in.distinct
cyclone    cycl.one
veracity    verac.ity
impurity    im.pur.ity
ricochet    rico.chet
indigo    indi.go
antiseptic    anti.sept.ic
groupie    group.ie
occupying    oc.cupy.ing
steeple    steeple
summation    sum.mat.ion
rebut    re.but
oppressor    op.pres.sor
vandal    van.dal
indisputable    in.dis.put.able
pancreatic    pan.cre.at.ic
infighting    in.fight.ing
demographer    demo.graph.er
recliner    re.clin.er
tiresome    tire.some
lithe    lithe
schism    schism
sentimentality    senti.ment.al.ity
accede    ac.cede
filet    filet
refrigerated    re.frig.er.at.ed
uptake    up.take
submissive    sub.miss.ive
sizeable    size.able
boat    boat
pliers    pliers
cobble    cobble
earthen    earth.en
wily    wily
torch    torch
incontinence    in.contin.ence
repugnant    re.pug.nant
cinch    cinch
ahh    ahh
ransack    ransack
rheumatoid    rheumat.oid
anvil    anvil
upriver    upriv.er
brief    brief
bob    bob
clumsily    clumsi.ly
prospector    pro.spect.or
humbling    humbl.ing
ripped    rip.ped
innkeeper    inn.keep.er
criminality    crim.in.ali.ty
whistling    whistl.ing
tuning    tun.ing
tribesman    tribes.man
frothy    froth.y
statistician    statis.tic.ian
recollect    re.col.lect
recalcitrant    re.calcit.rant
electrically    elec.tri.cal.ly
heh    heh
psychosis    psy.cho.sis
headband    head.band
declared    de.clar.ed
idealist    ideal.ist
drooping    droop.ing
gumbo    gum.bo
mushroom    mush.room
there    there
libido    libi.do
rifle    rifle
labeling    la.bel.ing
franchise    fran.chise
meaningfully    mean.ing.ful.ly
churn    churn
humanly    human.ly
inoculate    in.ocul.ate
scrunch    scrunch
intergroup    inter.group
photovoltaic    photo.volta.ic
vouch    vouch
franchisee    fran.chisee
forester    forest.er
instantaneously    in.stant.an.eous.ly
anachronism    a.nachron.ism
admirably    ad.mir.ab.ly
shanty    shanty
bridesmaid    bride.smaid
crumbled    crumb.led
branching    branch.ing
boarder    board.er
nay    nay
supplementation    sup.plement.ation
pillowcase    pillow.case
tumbling    tumbl.ing
smokestack    smoke.stack
puke    puke
chalkboard    chalk.board
llama    llama
crudely    crude.ly
irreplaceable    ir.re.place.able
deliverance    de.liv.er.ance
sniff    sniff
strainer    strain.er
untapped    un.tap.ped
seamstress    seam.stress
disenchanted    dis.en.chant.ed
polka    polka
floodwaters    flood.water.s
travesty    tra.vest.y
invertebrate    in.verte.brate
goof    goof
commercialize    com.mer.cial.ize
downtime    down.time
arbor    arbor
collapsed    col.laps.ed
windswept    wind.swept
hoopla    hoop.la
preemption    pre.emp.tion
girth    girth
scaffold    scaffold
captivating    captiv.at.ing
irritant    ir.rit.ant
rim    rim
prescient    pre.scient
expressionless    ex.pression.less
supposition    sup.pos.ition
marigold    marigold
radon    radon
dame    dame
unscrew    un.screw
salinity    salin.ity
naturalized    natural.ized
snorkel    snorkel
newsman    news.man
politicized    politic.ized
receptacle    re.cept.acle
craziness    crazi.ness
preoperative    pre.operat.ive
unrecognizable    un.recogniz.able
stethoscope    stetho.scope
platelet    plate.let
mausoleum    mausoleum
spindle    spindle
erstwhile    erst.while
pimple    pimple
backpack    back.pack
robin    robin
cheater    cheat.er
aftershock    after.shock
untimely    un.timely
euphoric    euphor.ic
unopened    un.open.ed
reusable    re.usab.le
whir    whir
derelict    de.rel.ict
snowman    snow.man
vanquished    vanqu.ish.ed
vertebrate    verte.brate
underbrush    under.brush
fiscally    fiscal.ly
spindly    spind.ly
tail    tail
buzzword    buzz.word
indoctrination    in.doctrin.ation
firefight    fire.fight
holly    holly
lewd    lewd
emigre    e.migre
eucharistic    eu.charis.tic
handset    hand.set
unresponsive    un.responsive
navigational    nav.igat.ion.al
permissive    per.miss.ive
triathlon    tri.athlon
bracket    bracket
bulging    bulg.ing
appraiser    ap.pr.ais.er
trawler    trawl.er
esophagus    eso.phag.us
goatee    go.at.ee
quarterfinal    quar.ter.fin.al
hellish    hell.ish
ascetic    as.cet.ic
imprisoned    im.pri.son.ed
orator    or.at.or
pleated    pleat.ed
suburbia    sub.urb.ia
dioxin    diox.in
litigate    lit.igate
devolve    de.volve
turntable    turn.table
expectantly    expect.ant.ly
unwrapped    un.wrap.ped
affirmative    af.firm.at.ive
tightness    tight.ness
bleeding    bleed.ing
unintentional    un.in.tent.ion.al
upkeep    up.keep
manhunt    man.hunt
encore    en.core
subconscious    sub.consc.ious
foundry    found.ry
drug    drug
shave    shave
mortify    mort.ify
amok    amok
haunch    haunch
delirious    de.lir.ious
cluck    cluck
strum    strum
repulse    re.pulse
demote    de.mote
reforming    re.form.ing
medial    medi.al
mutilated    mu.til.at.ed
sequin    sequin
reticence    re.tic.ence
sleeveless    sleeve.less
capitulate    capit.ul.ate
botched    botch.ed
vengeful    venge.ful
coincidental    coin.cid.ent.al
illogical    il.log.ical
stricture    stric.ture
heed    heed
humanize    hu.man.ize
misperception    mis.per.cept.ion
collie    col.lie
jockey    joc.key
sleet    sleet
hiccup    hic.cup
departed    de.part.ed
lard    lard
mesquite    mes.quite
fake    fake
awe    awe
stalinist    stalin.ist
tightrope    tight.rope
monogamous    mono.gam.ous
playback    play.back
connectivity    con.nec.tiv.ity
hurried    hur.ried
leaning    lean.ing
goodnight    good.night
vanished    van.ish.ed
unharmed    un.harm.ed
amp    amp
artifice    art.ifice
gong    gong
tern    tern
iteration    it.era.tion
compendium    com.pen.di.um
fishy    fish.y
gaseous    gase.ous
disguised    dis.guis.ed
preservationist    pres.er.va.tion.ist
plantain    plan.tain
clang    clang
rancid    ranc.id
misjudge    mis.judge
devious    de.vi.ous
souffle    souffle
unimpressed    un.im.press.ed
storeroom    store.room
indiscriminately    in.dis.crim.ina.te.ly
aphid    aphid
unquestioned    un.ques.tion.ed
flammable    flam.mable
undersecretary    under.secret.ary
countenance    countenance
wrecked    wreck.ed
puffing    puf.fing
cropped    crop.ped
sensibly    sens.ib.ly
aegis    aegis
scuff    scuff
muscle    mus.cle
tiled    tiled
magnifying    magn.ify.ing
frill    frill
morphology    mor.phol.ogy
foursome    four.some
mortuary    mortu.ary
poisoned    poi.son.ed
askew    a.skew
insulating    in.sulat.ing
scarecrow    scare.crow
runny    run.ny
heartbroken    heart.broken
curling    curl.ing
cripple    cripp.le
vindictive    vindict.ive
jubilant    jubil.ant
abut    a.but
landfall    land.fall
fascinated    fas.cinat.ed
pessimist    pessim.ist
cooperatively    co.oper.at.ive.ly
unfaithful    un.faith.ful
pox    pox
precipitously    precipit.ous.ly
untouchable    un.touch.able
furnished    furnish.ed
savagely    savage.ly
correspondingly    corre.spond.ing.ly
deformation    de.form.ation
resumption    re.sum.pt.ion
negativity    neg.at.iv.ity
driftwood    drift.wood
spar    spar
coffeehouse    coffee.house
abrasion    a.bras.ion
curving    curv.ing
bayou    bayou
tutelage    tu.tel.age
juggernaut    jug.ger.naut
superbly    su.perb.ly
stag    stag
payable    pay.able
alertness    alert.ness
confederation    con.feder.ation
priestly    priest.ly
jaunt    jaunt
staccato    stac.ca.to
theologically    theo.log.ic.ally
aggrieved    a.ggriev.ed
friendly    friend.ly
moonlit    moon.lit
bosnian    bosnian
swatch    swatch
crypt    crypt
headlong    head.long
convoluted    con.vol.ut.ed
angling    angl.ing
tested    test.ed
compromised    com.promis.ed
crest    crest
embellishment    em.bellish.ment
quash    quash
bloodless    blood.less
sprained    sprain.ed
scarred    scar.red
graduated    gradu.at.ed
titanic    titan.ic
reproach    re.proach
reconstructive    re.construct.ive
vastness    vast.ness
unabashed    un.abash.ed
verdant    verd.ant
ark    ark
yer    yer
otherness    other.ness
dictatorial    dictat.orial
unknown    un.known
clearinghouse    clear.ing.house
americanization    ameri.can.ization
sorbet    sorbet
novella    nov.ella
pneumatic    pneu.mat.ic
gazebo    gaze.bo
searcher    search.er
brainchild    brain.child
duplex    duplex
misfit    mis.fit
astride    a.stride
renovated    re.no.vat.ed
wiretap    wire.tap
derision    de.ris.ion
timbre    timbre
subcategory    sub.cate.gory
tinnitus    tin.ni.tus
bandage    ban.dage
smart    smart
commandeer    com.mande.er
cobweb    cob.web
loader    load.er
blacktop    black.top
genie    genie
intonation    in.to.na.tion
femur    femur
slush    slush
approvingly    ap.prov.ing.ly
sock    sock
affordability    af.ford.abil.ity
circumcision    cir.cum.cis.ion
crock    crock
parlay    parlay
facsimile    fac.simile
visuals    visuals
yummy    yummy
sweltering    swelter.ing
sari    sari
tertiary    tertiar.y
senatorial    senator.ial
tabulate    tabul.ate
harvesting    harvest.ing
hypnotize    hypnot.ize
second    second
dilate    di.late
dishearten    dis.heart.en
causation    caus.ation
plagiarism    plagiar.ism
yellowish    yellow.ish
soapy    soap.y
lupus    lup.us
invigorating    in.vigor.at.ing
carnation    carn.ation
primeval    prim.eval
unpretentious    un.pretentio.us
restorative    re.stor.ative
groggy    grog.gy
delectable    de.lect.able
breathlessly    breath.less.ly
idolize    idol.ize
civics    civ.ics
except    ex.cept
ostracize    ostrac.ize
jog    jog
uncertainly    un.certain.ly
fluctuating    fluctu.at.ing
archway    arch.way
immunize    immun.ize
impressively    impress.ive.ly
shaved    shav.ed
polyp    polyp
suitably    suit.ab.ly
nightmarish    night.mar.ish
hew    hew
charger    charg.er
foolproof    fool.proof
flipper    flipp.er
photocopy    photo.copy
fallow    fall.ow
freshen    fresh.en
negation    neg.ation
swastika    swas.ti.ka
behead    be.head
stagnate    stagn.ate
hijacking    hijack.ing
powder    powd.er
earphone    ear.phone
bye    bye
charade    char.ade
croissant    croiss.ant
inscrutable    in.scrut.able
italics    it.alics
illegal    il.legal
rooted    root.ed
pain    pain
ice    ice
coo    coo
